PROGID	PRINTLAYOUT	LOCATION	REPORTFILE	ISDEFAULT	ISACTIVE	DATECREATED	CREATEDBY	LASTUPDATED	LASTUPDATEDBY	RCDVERSION	VIEWERTYPE	USERPARAMS	USERGROUPPARAMS	USERROLEPARAMS	DOCSTATUSPARAMS
sysRptinv_stock_status_all_whse_w_cost	HIS - Stock Status	HIS Add-On	LISTING\\stock_stat.rpt	1	1	2008-11-17 13:37:43	sa	2014-03-25 14:25:21	manager	6	1				
u_hisbills	SOA Details	HIS Add-On	SOA\\soa_details.rpt	0	1	2013-08-25 15:49:53	manager	2014-04-07 22:14:12	manager	6	1				
u_hisbills	SOA Summary	HIS Add-On	SOA\\soa.rpt	1	1	2013-08-25 15:49:53	manager	2014-04-07 22:14:12	manager	6	1				
u_hisbills	SOA Summary with Excess	HIS Add-On	SOA\\soa2.rpt	0	1	2014-04-11 18:02:01	manager	2014-04-11 18:02:01	manager	1	1				
u_hisbills	STATEMENT	HIS Add-On	SOA\\soa_f.rpt	0	0	2013-08-25 15:50:58	manager	2014-04-07 22:14:12	manager	3	1				[C][CN][O]
u_hisbills	STATEMENT - DETAILS	HIS Add-On	SOA\\soa_details_f.rpt	0	0	2013-08-25 15:50:58	manager	2014-04-07 22:14:12	manager	3	1				[C][CN][O]
u_hischarges	Charges Form	HIS Add-On	FORM\\charges.rpt	1	1	2014-03-06 17:21:13	manager	2014-03-10 20:00:59	manager	3	1				
u_hischarges	Laboratory Charges Form	HIS Add-On	FORM\\charges_lab.rpt	0	1	2014-03-20 18:18:59	manager	2014-03-20 18:18:59	manager	1	1				
u_hischarges	Laboratory Test Result	HIS Add-On	FORM\\lab_test.rpt	0	1	2014-03-06 12:23:41	manager	2014-03-10 20:00:59	manager	3	1				
u_hischarges	Radiology Charges Form	HIS Add-On	FORM\\charges_lab.rpt	0	1	2014-03-28 22:21:42	manager	2014-03-28 22:21:42	manager	1	1				
u_hischarges	Radiology X-Ray Test Result	HIS Add-On	FORM\\lab_test_remarks.rpt	0	1	2014-03-06 13:09:51	manager	2014-03-30 13:09:02	manager	4	1				
u_hisconsultancyfees	Professional Fees Form	HIS Add-On	consult_form.rpt	1	1	2013-07-03 22:41:42	manager	2013-07-03 22:41:42	manager	1	1				
u_hisconsultancyrequests	Consultancy Requests Form	HIS Add-On	consult_form_req.rpt	1	1	2013-07-03 23:58:58	manager	2013-07-03 23:58:58	manager	1	1				
u_hiscredits	Returned/Credited	HIS Add-On	FORM\\credits.rpt	1	1	2014-03-20 18:32:27	manager	2014-03-20 18:32:27	manager	1	1				
u_hisdietscheds	Diet List	HIS Add-On	diet_form.rpt	1	1	2013-06-30 13:48:06	manager	2013-06-30 13:48:06	manager	1	1				
u_hisinclaims	PHIC Claim Form 2 - Page 1	HIS Add-On	PHIC_CL2\\claimform2_1.rpt	1	1	2013-08-26 19:11:50	manager	2013-08-26 19:12:54	manager	2	1				
u_hisinclaims	PHIC Claim Form 2 - Page 2	HIS Add-On	PHIC_CL2\\claimform2_2.rpt	0	1	2013-08-26 19:11:50	manager	2013-08-26 19:12:54	manager	2	1				
u_hisinclaims	PHIC Claim Form 2 - Page 3	HIS Add-On	PHIC_CL2\\claimform2_3.rpt	0	1	2013-08-26 19:11:50	manager	2013-08-26 19:12:54	manager	2	1				
u_hisinclaimxmtals	2. PHIC Claim Form 2 Page 1	HIS Add-On	PHIC\\claimform2_pck.rpt	0	0	2013-12-06 17:46:41	manager	2014-04-08 13:48:12	manager	3	1				
u_hisinclaimxmtals	2. PHIC Claim Form 2 Page 2	HIS Add-On	PHIC\\claimform2_pck2.rpt	0	0	2013-12-06 18:03:48	manager	2014-04-08 13:48:12	manager	3	1				
u_hisinclaimxmtals	2a. PHIC Claim Form 2 - Package - Page 1	HIS Add-On	PHIC\\claimform2_pck_1.rpt	0	0	2013-06-23 15:50:53	manager	2014-04-08 15:13:13	manager	6	1				
u_hisinclaimxmtals	3a. PHIC Claim Form 2 - Package - Page 2	HIS Add-On	PHIC\\claimform2_pck_2.rpt	0	0	2013-06-28 08:05:31	manager	2014-04-08 15:13:13	manager	5	1				
u_hisinclaimxmtals	4a. PHIC Claim Form 2 - Package - Page 3	HIS Add-On	PHIC\\claimform2_pck_3.rpt	0	0	2013-06-28 08:05:31	manager	2014-04-08 15:13:13	manager	5	1				
u_hisinclaimxmtals	6. PHIC Claim Form 2 Page 1	HIS Add-On	PHIC\\claimform2_1.rpt	0	0	2013-06-23 15:50:53	manager	2014-04-08 15:13:13	manager	4	1				
u_hisinclaimxmtals	7. PHIC Claim Form 2 Page 2	HIS Add-On	PHIC\\claimform2_2.rpt	0	0	2013-06-28 08:05:31	manager	2014-04-08 15:13:13	manager	3	1				
